02_psychology_growth-20160830-22 | 讓你瞬間看穿人心的怪咖心理學：史上最搞怪的心理學實驗報告 | 李察．韋斯曼
02_psychology_growth-20160830-23 | 讓天賦自由 | 肯．羅賓森、盧．亞若尼卡
02_psychology_growth-20160830-24 | FBI這樣學套話 讓他不知不覺說真話 | 喬．納瓦羅、約翰．薛佛
02_psychology_growth-20160830-25 | 自信沒人能給，更別自己摧毀！：建立自信的七個好習慣（暢銷五萬本紀念版） | 巴登．高史密斯
03_natural_science-20160830-21 | 天生愛學樣：發現鏡像神經元從模仿、學習到同理、瞭解人我關係的腦際特派員 | 亞科波尼
03_natural_science-20160830-22 | 愛因斯坦-他的人生 他的宇宙 | 華特．艾薩克森
03_natural_science-20160830-23 | 如何用數字唬人--用常識看穿無所不在的數字陷阱 | 布拉斯蘭、迪爾納
03_natural_science-20160830-24 | 電學之父：法拉第的故事（修訂版） | 張文亮
03_natural_science-20160830-25 | 從搖籃到搖籃：綠色經濟的設計提案【ESG永續暢銷三版】 | 威廉．麥唐諾、麥克．布朗嘉
04_healthcare-20160830-21 | 檢查表：不犯錯的祕密武器 | 葛文德
04_healthcare-20160830-22 | 向殘酷的仁慈說再見：一位加護病房醫師的善終宣言 | 陳秀丹
04_healthcare-20160830-23 | 回家的路 是這樣走的：無國界醫生在葉門 | 宋睿祥
04_healthcare-20160830-24 | 算病：算出體質，量身訂做養生方案 | 樓中亮
04_healthcare-20160830-25 | 57健康同學會：破除關鍵57健康迷思！ | 潘懷宗、隋安德、張雅芳、東森財經新聞台
01_business_startup-20160830-26 | 美元圈套：全球經濟大逆轉，如何創富與避險 | 王伯達
01_business_startup-20160830-27 | 不理性的力量：掌握工作、生活與愛情的行為經濟學 | 丹．艾瑞利
01_business_startup-20160830-28 | 下班後的黃金8小時 | 羅伯．帕格利瑞尼
01_business_startup-20160830-29 | 民國100年大泡沫：財富即將重分配，央行沒告訴你的真相 | 王伯達
01_business_startup-20160830-30 | 學會思考，你贏定了！：45個讓你站穩立場的論證法則 | 安東尼．威思頓
02_psychology_growth-20160830-26 | 怦然心動的人生整理魔法 | 近藤麻理惠
02_psychology_growth-20160830-27 | 斷捨離：斷絕不需要的東西，捨棄多餘的廢物，脫離對物品的執著，改變30萬人的史上最強人生整理術！ | 山下英子
02_psychology_growth-20160830-28 | 這樣想，你會更快活 | 黑幼龍
02_psychology_growth-20160830-29 | 只要你比別人更想飛：黑幼龍教你多一點決心，活出精采人生 | 黑幼龍
02_psychology_growth-20160830-30 | 黑幼龍的心靈雞湯 | 黑幼龍
